drug_name,drug_alias,indications,contraindications,side_effects,interaction_drugs,interaction_desc
对乙酰氨基酚,扑热息痛,解热镇痛,对本品过敏者禁用,恶心等,[],{}
布洛芬,,解热镇痛,对本品过敏者禁用,胃部不适等,"[""阿司匹林""]","{""阿司匹林"":""同类/叠加使用可能增加不良反应风险（科普信息，具体以说明书/医师意见为准）。""}"
阿司匹林,,解热镇痛,对本品过敏者禁用,胃部不适等,"[""布洛芬""]","{""布洛芬"":""同类/叠加使用可能增加不良反应风险（科普信息，具体以说明书/医师意见为准）。""}"
复方氨酚烷胺片,感康,感冒症状缓解,对本品过敏者禁用,头晕等,"[""酒精"",""镇静剂""]","{""酒精"":""可能增加中枢神经系统抑制作用",""镇静剂"":""可能增强镇静效果""}"
头孢克肟,,细菌感染治疗,对本品过敏者禁用,腹泻等,"[""酒精""]","{""酒精"":""可能引起双硫仑样反应""}"
阿莫西林,,细菌感染治疗,对本品过敏者禁用,皮疹等,[],{}
维生素C,,增强免疫力,对本品过敏者禁用,胃部不适等,[],{}
奥美拉唑,,胃酸过多治疗,对本品过敏者禁用,头痛等,[],{}
二甲双胍,,糖尿病治疗,肾功能不全者禁用,胃肠道反应等,[],{}
硝苯地平,,高血压治疗,对本品过敏者禁用,头痛等,[],{}
阿托伐他汀,,高血脂治疗,活动性肝病者禁用,肌肉疼痛等,[],{}
氯雷他定,,过敏症状缓解,对本品过敏者禁用,嗜睡等,[],{}
蒙脱石散,,腹泻治疗,对本品过敏者禁用,便秘等,[],{}
板蓝根颗粒,,清热解毒,对本品过敏者禁用,胃部不适等,[],{}
